Α , 13431
Β ,   869
Γ ,  2139
Δ ,  2633
Ε , 10015
Ζ ,   514
Η ,  7589
Θ ,  1439
Ι , 11986
Κ ,  5111
Λ ,  3017
Μ ,  3885
Ν ,  7213
Ξ ,   540
Ο , 14010
Π ,  5383
Ρ ,  6191
Σ , 10201
Τ , 10284
Υ ,  6675
Φ ,  1111
Χ ,  1040
Ψ ,   221
Ω ,  3216
